text	label
Wife death during 'argument' wit husband cause tension for Nasarawa, central Nigeria	nigeria
Nana Akufo-Addo: Wetin we know about Ghana President Ghc237,000 salary refund	africa
Arsene Wenger: Bayern Munich wan hold tok tok wit former Arsenal oga	sport
Nuhu Bamalli Polytechnic Zaria attack: Gunmen kill one student, kidnap odas for Kaduna school attack	nigeria
“333 out about 3000 Anglophones for prison no make sense” - separatist leader	africa
Nnamdi Kanu arrest leave Nigeria Ipob separatists in confusion	nigeria
Fifa Fifpro World 11: See all 55 players wey make di list of most voted for 2020 edition	sport
Cholera outbreak in Nigeria: 'Me, my wife and son catch di disease' - Survivors for FCT narrate dia experience with di disease	nigeria
Chacha Eke: Nigerians react to Chacha and Austin Faani, Nigerian actress and film director news of dia 4th pikin	entertainment
Lake Victoria fish death: Ugandans receive warning not to eat dead fish wey show for land as authorities reveal wetin dem know about cause	africa
Reekado Banks: Wizkid blast Reekado Banks insult for 'Omo Olomo' inside EndSARS protests	entertainment
Rock & Roll Hall of fame: Nigerians para as Fela fail to make di 2021 Rock & Roll inductees list	entertainment
Anele Ngcongca and Mshoza: South African, Genk football star die for car accident days afta ex according to reports - See wetin we know	sport
LGBTQI office in Ghana: Naomi Campbell, Idris Elba, Jidenna show 'support' for Ghana LGBTQI community	world
Omah Lay: Uganda musician Cindy Sanyu profile, Omah Lay and Tems lessons for Nigeria	entertainment
Hafthor Bjornsson: Game of Thrones actor breaks world deadlifting record	sport
Anthony Joshua vs Oleksandr Usyk: When, time and how to watch di heavyweight boxing fight	world
Cicely Tyson movies: American actress Cicely Tyson movies before death, oda things to know about her	entertainment
TB Joshua Burial: Candlelight procession kick-start burial of late Synagogue leader TB Joshua	nigeria
Ladipo market Lagos crisis: Ladipo spare parts traders lock Lagos marketplace to protest	nigeria
Dr Frabz profile: Wetin to sabi about Nigeria music producer wey celebrities dey mourn	entertainment
Ghana goment employ 350,000 youth for public sector in two years - Veep Bawumia	africa
Pere and Whitemoney fight: Big Brother Naija housemates argue and shout over misunderstanding	entertainment
Fire outbreak in Port Harcourt today: How kpo fire fuel cause disasters for days	nigeria
BBNaija Lockdown Reunion 2021: Highlights from TolaniBaj/Vee 'smack' clash for 'BBNaija reunion'	nigeria
Derek Chauvin sentenced to 22 years and six months in jail for George Floyd murder	world
UK travel ban: Nigeria, South Africa, all kontris go come off UK red list sake of Omicron	world
Ayoola Ajibade: Court explain how Nigerian man defraud Canada town of almost half a million dollars, find am guilty	nigeria
Nicki Minaj Baby: American-Trinidadian rapper Nicki Minaj don reveal her baby gender	entertainment
US Open 2019: World number 78 beat Federer for quarterfinals	sport
Anthony Joshua v Andy Ruiz: Women match fit happen before di main one	sport
Choi Tae Joon: Park Shin Hye and Choi Tae Joon announce pregnancy, to marry for 2022	entertainment
Christian Eriksen: Denmark v Finland match continue after midfielder collapse during Euro 2020 match	sport
Obi Cubana: EFCC 'arrest' Obinna Iyiegbu	nigeria
Mollie Fitzgerald: 'Captain America' actress dey face accuse say she stab her mama to death	entertainment
Sylvester Oromoni: Father of late Dowen College student surprise say court grant suspects of im son death bail	nigeria
The Brits Awards: Burna Boy, Taylor Swift go make history	entertainment
Manchester City vs Paris St-Germain prediction: UEFA Champions League Group A preview	sport
Cameroon ship accident: 'Ah loss ma two sisters and two pikin dem for ship accident'	africa
Buhari in Lagos: Nigeria President June 10 Ebute Metta Lagos train project commissioning fotos	nigeria
BBNaija: How fans vote Lucy comot Big Brother Naija lockdown season 5 house	entertainment
Colonel Assimi Goïta: Meet di new President of Mali transition goment	africa
Messi release clause 2020 from Barcelona - Dis na wetin we know	sport
BBNaija 2019: Joe and Enkay don comot Big Brother Naija house	entertainment
Jimmy Greaves death: European football react to death of Tottenham highest goalscorer	sport
Big Brother Naija housemates Erica and Kidd Waya do 'everitin' for Head of House lounge, Ngozi Nlewedim reveal	entertainment
Davido terminate Lil Frosh contract from DMW for domestic violence afta accuse of beating him girlfriend Gift Cammille	entertainment
Arsenal vs Vitoria SC: Nicolas Pepe goals 'perfect' pepper for Gunners	sport
Anthony Joshua vs Andy Ruiz time: See Joshua 'brutal plan' for Ruiz Jr	sport
Ify Onwuemene Nollywood actress die from endometrial cancer	entertainment
Kirby Jenner: Who be dis guy wey wan be like Kardashian	entertainment
Cameroon vs Burkina Faso: Afcon opening match prediction and preview of Indomitable Lions against Stallions	sport
Baba Suwe burial: Nollywood celebrities wey attend Baba Suwe burial in pictures	entertainment
Sunday Igboho: Court grant bail to Yoruba nation activist, Sunday Adeyemo 12 aides	nigeria
Coronavirus lockdown: Lions don take ova road during South African lockdown	africa
Tick: Justin Bieber say e get Lyme disease - See wetin doctors say dis disease fit do for bodi	entertainment
Ecowas meeting for Niger elect Nana Akufo-Addo, President of Ghana as new Ecowas Chairman - See five challenge dem im go face	africa
Samson Siasia: Lawyers dey consider legal action against Fifa	sport
"Bill Cosby charges dropped: ""Bill Cosby sexual assault conviction"" dey overturn by Court"	entertainment
Coronavirus cases in Ghana: Over 700 pipo contract Covid-19 for dema workplace within one week	africa
Cameroon goment get FCFA 57 billion dash from America for fight HIV/AIDS	africa
Anthony Joshua vs Oleksandr Usyk: Ukranian beat Joshua to be undiputed champion	sport
Ibrahim Babangida: IBB tok about corruption, reveal wetin for happen for June 12 and oda highpoints of im interview	nigeria
Sanusi Oscar: Kannywood director dem arrest for 'music wey break law' no go give up	entertainment
Cardi B: WAP music video of Cardi B ft Megan Thee Stallion new hot fotos a year afta	entertainment
Nigeria Vs Sierra Leone: Super Eagles Ahmed Musa don apologise for dia draw game	sport
Arthur Labinjo-Hughes: Dad and im partner dey guilty of killing six-year-old pikin	world
Best Fifa Football Awards 2019: Klopp, Messi, full list of winners	sport
Women's World Cup: Nigeria Super Falcons don crash comot against Germany	sport
"Nicki Minaj new song Mixtape ""Beam Me Up Scotty"": American rapper explain why she take long break from music and wetin next"	entertainment
Kim Kardashian West speak about Kanye West bipolar disorder for di first time, ask for compassion	entertainment
