text	label
Herintaona Tamin'ny 21 Aogositra, Notafihan'i Assad Taminà Fitaovam-Piadiana Simika i Al Ghouta	Politika
Qatar: Nambara Ny Datim-Pifidianana Izay Ho Parlemantera Amin'ny 2013	Politika
Iray Tapitrisa Yuan Ny Findramana Sipa Hiarahana Amin'ny Taombaovao Shinoa	Kolontsaina
Mihenjana ny tady eo amin'i Etiopia sy Sodàna, iadian'izy ireo ny faritr'i Al-Fashqa	Kolontsaina
Libanona : Ny ho mpanao pôlitika malaza no tanjona	Politika
Tiorkmenistana: Zon'Olombelona? Zon'Olombelona Inona?	Zon'olombelona
Soritroritan'i Prof. Fatoumata Harber, Psikology Sady Bilaogera Ny Fiainana Andavanandron'ny Mpitolona Iray Ao Tombouctou	Zon'olombelona
SARIPIKA: Drone Maka Sary Ny Hakanton'i Thailand	Kolontsaina
Ejipta : ny efatra andro nanagadrana an'i Philip Rizk	Zon'olombelona
Kyrgyzstan: Fitsapan-kevi-pirenena, vehivavy mpitsikilo tao amin'ny parlemanta	Politika
Diaben'ny Fandriampahalemana: ‘Atsaharo Ny Herisetra any Myanmar Avaratra’	Zon'olombelona
Graffiti Sy Zavakanton'ny Arabe Any Amerika Latina: Ao Amin'ny Aterineto Sy Eny Amin'ny Arabe	Kolontsaina
Iràka: 150 isan'andro ny fiezahana hipiraty ny bolongany	Siansa_sy_Teknolojia
Tonizia: Mitohy Ny Hetsi-Panoherana, Mitohy Koa Ny Herisetran'ny Polisy	Politika
Rosia: Solontenan'ny OSCE voampanga ho mpitsikilo	Politika
Baomba Iray Izay Nampihovitrovitra Ny Fiarandàlamby (Ambanin'ny Tany) Tao Santiago, Nandrehitra Ny Twitter Shiliana	Politika
Nahita Teheran Tany Caracas Aho	Kolontsaina
Taorian'ny Famborahana Ny Fanaovana Sotasota Ara-pananahana Any Amin'ny Toerampiasàna, Milaza Ny Iraniana Iray Mpanolotra Vaovao Fa “Tonga izao ny Fotoana Hiavotana Ho Afaka”	Politika
Gresy: Ny Aingam-panahy Ao Ambadik'ilay Sarinà ‘Maenad Maoderna ‘	Kolontsaina
Arabia Saodita: Voagadra Tanaty Birao	Kolontsaina
Ekoatora: Herintaona Izay No Lasa Hatramin'ny Nitànana An-tranomaizina An'ireo '10 Avy Any Luluncoto’	Zon'olombelona
“Niriko ho lehibe tao anatin'izany trano izany ny zafikeliko”: Fijoroana vavolombelona avy amin'ny renibe Syriana 61 taona avy ao Zamalka	Zon'olombelona
SARIPIKA: Navadik'ireo Mpanao Fihetsiketsehana Tao Taiwan Ho Zava-kanto Ny Fefy Vy Napetraky Ny Polisy	Kolontsaina
Nanjaka ny herisetra tao Afrika Atsimo	Zon'olombelona
Egypta: Ny Hira Rap-n'ny Revolisiona	Kolontsaina
Goatemalà: Mifarimbona Amin'ny Famoahana Boky TRANS 2.0	Kolontsaina
Noafahan'ny fitsarana angoley ilay mpanora-gazety Rafael Marques	Zon'olombelona
Kiobà: Ilay Lehilahy Feno Kavina	Kolontsaina
Mpanao Gazety Ao Myanmar Notànan'ny Miaramila, Ary Novonoina Avy Eo	Zon'olombelona
Naverin'ny Mpifidin'i Orogoay Tamin'ny Asany Taloha Ny Filoha Teo Aloha Tabaré Vázquez	Politika
Mampanantena Hanakana Ny Tranonkala Rehetra “Tsy Nahazo Alalana” i Iran	Zon'olombelona
Orsa volontany Japoney mirenireny eny an-tanàna lehibe indrindra ao amin'ny nosy Hokkaido	Tontolo_iainana
Vanessa Worou, mpihira vavy Tôgôley vao misondrotra	Kolontsaina
Mihetsika Amin'ny Fanairana Fanafihan'ny Vitsika Mena Misy Poizina I Japana	Tontolo_iainana
Porto Rico: Fanadiovan-tsolika nipoaka	Tontolo_iainana
Fanangona-Tsonia An-Tserasera Nahavita Namotsotra Soka-Dranomasina tany Philippines	Tontolo_iainana
Notapenam-Bava Ny Gazeti-boky Antseraseran'i Yoani Sánchez Ao Kioba	Politika
Ezypta: Moa ve Palestiniana i Obama?	Politika
Brezila: Bush miatrika hetsipanoherana. Orogoay miomana	Politika
Libya: Tahotra sy korontana ao an-tseranam-piaramanidin'i Tripoli	Politika
Tanjona Maitso: Fahabangan'ny Teatira ao Praia	Kolontsaina
Nodarohan'ny Polisy Nizeriana i Yomi Olomofe, Rehefa Niharan'ny Herisetra Tamin'ny Herintaona Satria Nanao Tatitra Kolikoly	Zon'olombelona
Nihitsoka nandritra ny enina andro ny tranonkala ‘Sudan Vote Monitor’ fanaraha-maso ny fifidianana	Siansa_sy_Teknolojia
Goatemalà : Loharanonà Aingam-panahy Tamin'ilay Printsy Kely Ve i Antigoà ?	Kolontsaina
Rosia: Manintona Ireo Mpandray Anjara Any Amin'ny Faritra Ny Valan-dresaka Mikasika Ny Fitorahana Bilaogy	Siansa_sy_Teknolojia
Tao anaty famakisana ny firaisankinam-paritra, nandao ny Forum Nosy Pasifika i Kiribati	Politika
Mpiari-Tory An'arivony Mitafy Halloween No Mifety Eny Amin'ny Lalamben'i Tokyo	Kolontsaina
Miteraka ady hevitra ara-pitsarana ny fanentanana ara-politika ataon'ireo minisitra Nizeriana	Politika
SARIPIKA: Olombelon'i Karaiba	Kolontsaina
Bangladesh: Mahatsiaro ny Voalohan'ny volana Mey ny Blaogy Bangla	Zon'olombelona
Lalam-pahafahana sarotra nodiavin'ny Syriana iray	Politika
Mozika Niharan'ny Sivana Sy Feo Voaràra Ao Angola	Kolontsaina
Nanokatra tambajotra hanaraha-maso ny fifidianana filoham-pirenena ireo mpikatroka Angoley	Politika
Iran: Antoko Maitso, Tontolon'ny Demokrasia Sy Ireo Fomba Ratsy Efa Nilaozan'ny Toetr'andro	Politika
Syria: Efa tonga ve ny ririnina?	Tontolo_iainana
Marlon James Mahatonga An'i Jamaika Ho Afaka Mirehareha Noho Ny Nahazoany Ny Loka Man Booker Ho An'ny Tantara Foronina	Kolontsaina
Fitomboan'ny Fitokonana Amin'ny Asa Any San Quentin, Meksika	Zon'olombelona
Ho Anao Mpankafy Zavakanto Japoney, Manana Fanomezana Miisa 300.000 Ho Anao Ny Mozea An-tanàndehiben'i New York	Kolontsaina
Vehivavy mijanona an-trano ao Arzantina nanao fihetsiketsehana avy eny am-baravarakely noho ny firongatry ny famonoana vehivavy	Zon'olombelona
Irana:Ampahan-tsarimihetsika maro nalain'olon-tsotra momba ny hetsi-panoherana	Politika
125 Taona Ny Lalamby Egyptiana	Kolontsaina
Nanitsakitsaka ny dinam-piarahamonina ao amin'ny firenena ve ny sazy vaovao amin'ny fandroràna ao Kyrgyzstan?	Politika
Misy Sahady Hira Rap Natao Ho An'ireo Tanora Mitafy Toy Ny Tantely Mampandihy Vody Ao Rosia	Kolontsaina
Mampiantrano Ny Fifanakalozan-kevitra Ara-tsosialy Manerantany  i Tonizia	Politika
Ireo Nizeriana Miverina Any Amin'ny Lisea Miaraka Amin'ireo Bitsika Mahatsikaiky An'arivony	Kolontsaina
Nyota Ndogo, Mpihira Afrikana, Manana Klioban'ny Mpiondana an-Tserasera	Kolontsaina
Japana: Ny Bolongana 50 malaza indrindra	Siansa_sy_Teknolojia
Azerbaijana: Voampanga Ireo Bilaogera	Zon'olombelona
Sakanan'ny Governemanta Siriana Ny WordPress	Siansa_sy_Teknolojia
Repoblika Demokratikan'i Kongo: Ireo Olo-malazan'i Rhumba, Omaly Sy Anio	Kolontsaina
Manao antso avo amin'ireo mpankafy azy mba hanome fanampiana hitsaboana ny fivontosana amin'ny atidohany ilay mpanakanto hip-hop Mozambikana Azagaia	Kolontsaina
Miara-miasa Amin'ny Fikarohana Ny Ankizy Very i Jamaika sy ny Facebook	Siansa_sy_Teknolojia
Endrika Mpandika Teny: Jade Dussart, i Azia Sy Ny Zon'olombelona Ao Am-pony	Zon'olombelona
